06/14/21 17:39:05, 985.06, 237.36, 85.97%
06/14/21 17:39:06, -12.08, 985.03, 237.66, 85.97%
06/14/21 17:39:07, -12.08, 985.03, 237.66, 85.97%
06/14/21 17:39:08, -12.08, 985.04, 237.52, 85.97%
06/14/21 17:39:09, -12.08, 985.06, 237.36, 85.97%
06/14/21 17:39:10, -12.08, 985.03, 237.66, 85.97%
06/14/21 17:39:10, -12.10, 985.03, 237.64, 85.97%
06/14/21 17:39:11, -12.08, 985.06, 237.42, 85.97%
06/14/21 17:39:12, -12.08, 985.06, 237.35, 85.97%
06/14/21 17:39:13, -12.07, 985.05, 237.50, 85.98%
06/14/21 17:39:14, -12.08, 985.05, 237.51, 85.97%
06/14/21 17:39:15, -12.07, 985.06, 237.36, 85.97%
06/14/21 17:39:16, -12.07, 985.05, 237.48, 85.98%
06/14/21 17:39:17, -12.07, 985.02, 237.73, 85.98%
06/14/21 17:39:18, -12.07, 985.03, 237.68, 85.98%
06/14/21 17:39:19, -12.07, 985.02, 237.75, 85.98%
06/14/21 17:39:19, -12.07, 985.02, 237.74, 85.98%
06/14/21 17:39:20, -12.06, 985.06, 237.40, 85.98%
06/14/21 17:39:21, -12.07, 985.05, 237.49, 85.98%
06/14/21 17:39:22, -12.07, 985.05, 237.51, 85.98%
06/14/21 17:39:23, -12.06, 985.06, 237.36, 85.99%
06/14/21 17:39:24, -12.06, 985.05, 237.45, 85.98%
06/14/21 17:39:25, -12.06, 985.06, 237.36, 85.99%
06/14/21 17:39:26, -12.06, 985.05, 237.51, 85.98%
06/14/21 17:39:27, -12.06, 985.02, 237.77, 85.98%
06/14/21 17:39:28, -12.06, 985.06, 237.42, 85.98%
06/14/21 17:39:28, -12.06, 985.06, 237.42, 85.99%
06/14/21 17:39:29, -12.05, 985.06, 237.41, 85.99%
06/14/21 17:39:30, -12.05, 985.04, 237.54, 85.98%
06/14/21 17:39:31, -12.05, 985.03, 237.62, 85.99%
06/14/21 17:39:32, -12.05, 985.03, 237.60, 85.99%
06/14/21 17:39:33, -12.05, 985.02, 237.73, 85.99%
06/14/21 17:39:34, -12.05, 985.03, 237.71, 85.97%
06/14/21 17:39:35, -12.05, 985.03, 237.66, 85.99%
06/14/21 17:39:36, -12.05, 985.07, 237.31, 85.99%
06/14/21 17:39:37, -12.05, 985.06, 237.42, 85.99%
06/14/21 17:39:37, -12.05, 985.05, 237.50, 85.99%
06/14/21 17:39:38, -12.05, 985.03, 237.66, 85.99%
06/14/21 17:39:39, -12.04, 985.05, 237.48, 85.99%
06/14/21 17:39:40, -12.04, 985.03, 237.65, 85.99%
06/14/21 17:39:41, -12.04, 985.06, 237.38, 85.99%
06/14/21 17:39:42, -12.04, 985.07, 237.34, 85.99%
06/14/21 17:39:43, -12.04, 985.04, 237.58, 86.00%
06/14/21 17:39:44, -12.04, 985.07, 237.30, 86.00%
06/14/21 17:39:45, -12.04, 985.04, 237.59, 85.97%
06/14/21 17:39:46, -12.04, 985.04, 237.52, 86.00%
06/14/21 17:39:47, -12.03, 985.05, 237.48, 86.00%
06/14/21 17:39:47, -12.04, 985.06, 237.36, 86.00%
06/14/21 17:39:48, -12.03, 985.05, 237.44, 86.00%
06/14/21 17:39:49, -12.03, 985.05, 237.45, 86.02%
06/14/21 17:39:50, -12.03, 985.05, 237.45, 86.02%
06/14/21 17:39:51, -12.03, 985.05, 237.48, 86.02%
06/14/21 17:39:52, -12.03, 985.08, 237.23, 86.02%
06/14/21 17:39:53, -12.03, 985.05, 237.49, 86.02%
06/14/21 17:39:54, -12.03, 985.05, 237.50, 86.03%
