06/14/21 16:09:35, , 226.00, 57.21%
06/14/21 16:09:35, -30.58, 986.40, 226.01, 57.21%
06/14/21 16:09:36, -30.58, 986.40, 225.99, 57.21%
06/14/21 16:09:37, -30.58, 986.40, 225.95, 57.22%
06/14/21 16:09:38, -30.58, 986.41, 225.91, 57.22%
06/14/21 16:09:39, -30.58, 986.39, 226.04, 57.23%
06/14/21 16:09:40, -30.58, 986.40, 225.99, 57.23%
06/14/21 16:09:41, -30.58, 986.41, 225.92, 57.24%
06/14/21 16:09:42, -30.58, 986.37, 226.21, 57.25%
06/14/21 16:09:43, -30.59, 986.40, 225.98, 57.24%
06/14/21 16:09:44, -30.59, 986.39, 226.05, 57.25%
06/14/21 16:09:44, -30.59, 986.42, 225.83, 57.25%
06/14/21 16:09:45, -30.59, 986.36, 226.33, 57.25%
06/14/21 16:09:46, -30.59, 986.40, 225.95, 57.25%
06/14/21 16:09:47, -30.59, 986.38, 226.16, 57.25%
06/14/21 16:09:48, -30.59, 986.41, 225.89, 57.25%
06/14/21 16:09:49, -30.59, 986.40, 225.96, 57.24%
06/14/21 16:09:50, -30.59, 986.37, 226.22, 57.24%
06/14/21 16:09:51, -30.59, 986.40, 225.95, 57.24%
06/14/21 16:09:52, -30.59, 986.43, 225.76, 57.24%
06/14/21 16:09:53, -30.59, 986.38, 226.13, 57.25%
06/14/21 16:09:53, -30.59, 986.36, 226.33, 57.25%
06/14/21 16:09:54, -30.59, 986.39, 226.03, 57.25%
06/14/21 16:09:55, -30.59, 986.37, 226.25, 57.26%
06/14/21 16:09:56, -30.59, 986.41, 225.94, 57.27%
06/14/21 16:09:57, -30.60, 986.37, 226.27, 57.26%
06/14/21 16:09:58, -30.59, 986.39, 226.25, 57.23%
06/14/21 16:09:59, -30.59, 986.35, 226.41, 57.27%
06/14/21 16:10:00, -30.59, 986.35, 226.45, 57.26%
06/14/21 16:10:01, -30.60, 986.43, 225.74, 57.27%
06/14/21 16:10:02, -30.60, 986.36, 226.30, 57.27%
06/14/21 16:10:02, -30.59, 986.42, 225.80, 57.27%
06/14/21 16:10:03, -30.60, 986.39, 226.03, 57.28%
06/14/21 16:10:04, -30.60, 986.38, 226.18, 57.28%
06/14/21 16:10:05, -30.60, 986.36, 226.31, 57.28%
06/14/21 16:10:06, -30.60, 986.38, 226.11, 57.28%
06/14/21 16:10:07, -30.60, 986.33, 226.59, 57.28%
06/14/21 16:10:08, -30.60, 986.40, 225.95, 57.29%
06/14/21 16:10:09, -30.59, 986.37, 226.27, 57.30%
06/14/21 16:10:10, -30.60, 986.34, 226.51, 57.30%
06/14/21 16:10:11, -30.60, 986.38, 226.19, 57.30%
06/14/21 16:10:12, -30.60, 986.36, 226.29, 57.31%
06/14/21 16:10:12, -30.60, 986.35, 226.41, 57.31%
06/14/21 16:10:13, -30.60, 986.35, 226.43, 57.31%
06/14/21 16:10:14, -30.60, 986.38, 226.19, 57.31%
06/14/21 16:10:15, -30.60, 986.40, 226.02, 57.32%
06/14/21 16:10:16, -30.60, 986.34, 226.46, 57.33%
06/14/21 16:10:17, -30.60, 986.37, 226.21, 57.34%
06/14/21 16:10:18, -30.61, 986.36, 226.30, 57.34%
06/14/21 16:10:19, -30.61, 986.33, 226.60, 57.34%
06/14/21 16:10:20, -30.61, 986.35, 226.43, 57.34%
06/14/21 16:10:21, -30.60, 986.40, 225.99, 57.34%
06/14/21 16:10:21, -30.61, 986.35, 226.44, 57.35%
06/14/21 16:10:22, -30.60, 986.38, 226.16, 57.35%
06/14/21 16:10:23, -30.61, 986.33, 226.55, 57.34%
06/14/21 16:10:24, -30.61, 986.39, 226.10, 57.34%
06/14/21 16:10:25, -30.61, 986.37, 226.28, 57.35%
06/14/21 16:10:26, -30.61, 986.34, 226.79, 57.34%
06/14/21 16:10:27, -30.61, 986.36, 226.30, 57.35%
06/14/21 16:10:28, -30.61, 986.38, 226.16, 57.35%
06/14/21 16:10:29, -30.61, 986.37, 226.22, 57.35%
06/14/21 16:10:30, -30.61, 986.35, 226.45, 57.34%
06/14/21 16:10:30, -30.62, 986.34, 226.49, 57.33%
06/14/21 16:10:31, -30.63, 986.36, 226.32, 57.32%
06/14/21 16:10:32, -30.62, 986.35, 226.39, 57.32%
06/14/21 16:10:33, -30.62, 986.35, 226.42, 57.31%
06/14/21 16:10:34, -30.62, 986.35, 226.41, 57.32%
06/14/21 16:10:35, -30.63, 986.39, 226.09, 57.32%
06/14/21 16:10:36, -30.63, 986.32, 226.70, 57.32%
06/14/21 16:10:37, -30.63, 986.38, 226.13, 57.32%
06/14/21 16:10:38, -30.63, 986.39, 226.11, 57.32%
06/14/21 16:10:39, -30.63, 986.36, 226.29, 57.32%
06/14/21 16:10:39, -30.63, 986.39, 226.09, 57.33%
06/14/21 16:10:40, -30.63, 986.36, 226.31, 57.33%
06/14/21 16:10:41, -30.64, 986.34, 226.52, 57.34%
06/14/21 16:10:42, -30.63, 986.36, 226.32, 57.33%
06/14/21 16:10:43, -30.63, 986.38, 226.12, 57.33%
06/14/21 16:10:44, -30.64, 986.33, 226.60, 57.32%
06/14/21 16:10:45, -30.64, 986.36, 226.31, 57.31%
06/14/21 16:10:46, -30.64, 986.33, 226.55, 57.31%
